,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
486,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,30,1986,17.9,635,866,73.3,11495,5071,291,339,85.8,256,337,76.0,77,158,48.7,2,1.6,+0.4,19,37,22,12,67,Matches
487,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,22,1994,5.0,128,182,70.3,2370,796,53,69,76.8,59,75,78.7,11,30,36.7,0,0.0,0.0,1,15,2,0,21,Matches
488,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,22,1995,9.6,526,623,84.4,10685,3404,182,202,90.1,253,286,88.5,84,120,70.0,0,0.1,-0.1,3,30,7,1,40,Matches
489,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2.0,26,52,50.0,1250,1086,1,2,50.0,5,5,100.0,20,44,45.5,0,0.0,0.0,0,1,0,0,0,Matches
490,Timothy Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,27,1990,21.0,587,927,63.3,12252,5785,199,253,78.7,283,436,64.9,102,216,47.2,4,2.6,+1.4,24,53,33,21,94,Matches
491,Kwon Chang-hoon,kr KOR,FWMF,Dijon,fr Ligue 1,23,1994,23.7,446,685,65.1,7510,2286,228,295,77.3,159,230,69.1,48,131,36.6,3,1.9,+1.1,31,23,20,9,44,Matches
492,Charles,br BRA,FW,Eibar,es La Liga,33,1984,17.6,282,414,68.1,3966,673,181,247,73.3,82,126,65.1,10,20,50.0,1,1.4,-0.4,17,19,7,1,21,Matches
493,Charly Charrier,fr FRA,MFFW,Amiens,fr Ligue 1,31,1986,1.2,53,71,74.6,924,153,23,31,74.2,24,26,92.3,4,11,36.4,0,0.0,0.0,1,7,0,0,4,Matches
494,Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,19,1997,0.1,9,10,90.0,133,29,4,4,100.0,5,6,83.3,0,0,,0,0.2,-0.2,1,1,0,0,1,Matches
495,Chema,es ESP,DF,Levante,es La Liga,25,1992,22.4,546,706,77.3,13045,4631,124,141,87.9,271,303,89.4,145,251,57.8,1,0.1,+0.9,4,36,2,0,44,Matches
496,Denis Cheryshev,ru RUS,MFFW,Villarreal,es La Liga,26,1990,10.3,233,348,67.0,4182,1324,109,141,77.3,103,149,69.1,21,47,44.7,1,3.4,-2.4,18,14,13,5,33,Matches
497,Raman Chibsah,gh GHA,MF,Benevento,it Serie A,24,1993,11.6,377,425,88.7,6753,1340,161,172,93.6,174,193,90.2,37,46,80.4,0,0.5,-0.5,9,34,3,1,22,Matches
498,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27.0,694,1000,69.4,21429,13649,102,106,96.2,326,338,96.4,265,552,48.0,0,0.5,-0.5,3,9,0,0,0,Matches
499,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,32,1984,24.0,1526,1765,86.5,36121,11043,336,379,88.7,800,876,91.3,380,486,78.2,1,0.6,+0.4,6,118,8,0,105,Matches
500,Federico Chiesa,it ITA,FWMF,Fiorentina,it Serie A,19,1997,33.5,751,1039,72.3,12108,3605,397,474,83.8,279,376,74.2,59,131,45.0,4,6.2,-2.2,53,40,54,14,96,Matches
501,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,20,1996,20.6,856,1179,72.6,14731,5532,413,476,86.8,344,468,73.5,81,170,47.6,2,2.1,-0.1,22,52,27,13,78,Matches
502,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,27,1989,6.5,531,585,90.8,10604,3625,186,195,95.4,241,261,92.3,86,103,83.5,0,0.0,0.0,1,37,0,0,45,Matches
503,Hamza Choudhury,eng ENG,MFDF,Leicester City,eng Premier League,19,1997,4.2,142,175,81.1,2845,830,56,63,88.9,64,72,88.9,21,36,58.3,1,0.2,+0.8,1,17,0,0,10,Matches
504,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,21,1996,23.2,1251,1318,94.9,28000,7635,299,308,97.1,684,707,96.7,260,287,90.6,0,0.2,-0.2,4,53,1,0,67,Matches
505,Chuca,es ESP,MF,Villarreal,es La Liga,20,1997,1.0,36,56,64.3,661,111,20,25,80.0,10,19,52.6,6,12,50.0,0,0.0,0.0,1,2,0,0,1,Matches
506,Lee Chung-yong,kr KOR,FWMF,Crystal Palace,eng Premier League,29,1988,1.5,58,76,76.3,845,225,38,41,92.7,16,22,72.7,3,10,30.0,0,0.1,-0.1,2,1,1,0,4,Matches
507,Amato Ciciretti,it ITA,MFFW,Benevento,it Serie A,23,1993,9.0,243,345,70.4,4425,1102,111,137,81.0,95,122,77.9,32,72,44.4,1,1.5,-0.5,15,7,8,4,17,Matches
508,Cifu,es ESP,DF,Málaga,es La Liga,26,1990,1.2,59,77,76.6,937,362,36,42,85.7,21,26,80.8,2,5,40.0,0,0.3,-0.3,2,4,3,3,4,Matches
509,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,31,1986,22.5,1229,1603,76.7,24763,8145,472,522,90.4,544,661,82.3,199,393,50.6,3,3.2,-0.2,39,138,26,2,158,Matches
510,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,30,1987,24.3,970,1123,86.4,18356,4389,400,446,89.7,425,479,88.7,134,177,75.7,0,0.7,-0.7,6,81,8,2,77,Matches
511,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1.0,19,27,70.4,471,219,4,4,100.0,10,11,90.9,5,12,41.7,0,0.0,0.0,0,0,0,0,0,Matches
512,Thiago Cionek,pl POL,DF,SPAL,it Serie A,31,1986,15.0,587,764,76.8,11692,4589,211,245,86.1,278,322,86.3,92,170,54.1,0,0.1,-0.1,2,47,2,1,46,Matches
513,Saliou Ciss,sn SEN,DFFW,Angers,fr Ligue 1,27,1989,1.6,35,54,64.8,588,293,19,24,79.2,13,21,61.9,3,7,42.9,0,0.0,0.0,0,4,1,0,3,Matches
514,Karamoko Cissé,gn GUI,FWDF,Benevento,it Serie A,28,1988,0.2,3,6,50.0,87,29,1,4,25.0,0,0,,2,2,100.0,0,0.0,0.0,0,0,2,1,1,Matches
515,Issa Cissokho,sn SEN,DF,Amiens,fr Ligue 1,32,1985,18.1,592,801,73.9,11131,5213,247,289,85.5,263,334,78.7,75,160,46.9,0,0.5,-0.5,9,49,10,9,38,Matches
516,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,27,1989,19.4,501,677,74.0,11547,4485,139,161,86.3,245,284,86.3,113,214,52.8,1,0.4,+0.6,3,39,3,0,30,Matches
517,Christian Clemens,de GER,MFFW,Köln,de Bundesliga,25,1991,7.2,157,237,66.2,2850,1077,78,96,81.3,59,80,73.8,18,57,31.6,0,1.2,-1.2,10,9,7,3,19,Matches
518,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,27,1989,21.1,947,1198,79.0,17256,5008,441,485,90.9,346,415,83.4,136,249,54.6,2,1.5,+0.5,30,123,20,4,111,Matches
519,Sam Clucas,eng ENG,MFFW,Swansea City,eng Premier League,26,1990,22.7,679,852,79.7,12770,2984,294,338,87.0,279,322,86.6,90,152,59.2,1,1.1,-0.1,14,44,6,2,45,Matches
520,Nathaniel Clyne,eng ENG,DFFW,Liverpool,eng Premier League,26,1991,1.9,111,138,80.4,1855,602,50,57,87.7,47,56,83.9,9,15,60.0,0,0.1,-0.1,1,6,3,2,9,Matches
521,Marcus Coco,fr FRA,FWMF,Guingamp,fr Ligue 1,21,1996,17.6,457,628,72.8,6822,1881,258,315,81.9,152,213,71.4,31,60,51.7,2,1.3,+0.7,15,32,20,10,46,Matches
522,Massimo Coda,it ITA,FW,Benevento,it Serie A,28,1988,15.7,238,344,69.2,3741,649,137,178,77.0,76,114,66.7,20,35,57.1,1,1.9,-0.9,20,11,12,1,28,Matches
523,Isaac Cofie,gh GHA,MF,Genoa,it Serie A,25,1991,6.6,242,301,80.4,4527,1294,83,101,82.2,128,144,88.9,28,51,54.9,0,0.0,0.0,1,20,4,0,34,Matches
524,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,32,1984,36.6,1511,1991,75.9,30387,9157,570,674,84.6,673,830,81.1,241,405,59.5,3,3.9,-0.9,47,204,37,13,211,Matches
525,Coke,es ESP,DF,Levante,es La Liga,30,1987,15.4,542,748,72.5,9814,5000,249,301,82.7,222,299,74.2,68,131,51.9,0,0.9,-0.9,14,51,15,4,66,Matches
526,Coke,es ESP,MF,Schalke 04,de Bundesliga,30,1987,0.0,2,2,100.0,18,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
527,Emre Çolak,tr TUR,MFFW,La Coruña,es La Liga,26,1991,16.1,660,850,77.6,12225,3771,325,376,86.4,236,284,83.1,89,170,52.4,1,3.2,-2.2,32,93,31,4,93,Matches
528,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,28,1988,11.5,378,519,72.8,6210,2681,206,232,88.8,138,190,72.6,28,70,40.0,1,0.5,+0.5,8,29,8,3,39,Matches
529,James Collins,wls WAL,DF,West Ham,eng Premier League,33,1983,11.7,283,387,73.1,6428,2604,81,89,91.0,138,169,81.7,61,122,50.0,0,0.4,-0.4,2,13,0,0,14,Matches
530,Racine Coly,sn SEN,DF,Nice,fr Ligue 1,21,1995,6.9,346,411,84.2,5533,1662,172,188,91.5,155,181,85.6,17,31,54.8,0,0.2,-0.2,1,35,1,1,25,Matches
531,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,21,1996,12.8,484,607,79.7,8380,1544,230,269,85.5,202,249,81.1,46,75,61.3,3,2.9,+0.1,20,19,25,8,33,Matches
532,Marvin Compper,de GER,DF,RB Leipzig,de Bundesliga,32,1985,1.0,55,61,90.2,1193,371,15,15,100.0,31,34,91.2,9,12,75.0,0,0.0,0.0,0,4,0,0,5,Matches
533,Alois Confais,fr FRA,MFDF,Troyes,fr Ligue 1,20,1996,6.8,217,274,79.2,4339,1101,75,94,79.8,102,124,82.3,38,51,74.5,0,0.1,-0.1,2,22,3,3,23,Matches
534,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,32,1985,29.3,1023,1260,81.2,21475,8863,313,352,88.9,516,602,85.7,178,273,65.2,0,0.3,-0.3,6,100,3,1,112,Matches
535,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,36.8,690,1044,66.1,25691,17345,49,51,96.1,259,259,100.0,380,732,51.9,0,0.0,0.0,1,11,0,0,0,Matches
536,Diego Contento,de GER,DFFW,Bordeaux,fr Ligue 1,27,1990,1.2,24,32,75.0,438,215,12,12,100.0,8,12,66.7,4,7,57.1,1,0.2,+0.8,1,1,0,0,2,Matches
537,Andrea Conti,it ITA,DF,Milan,it Serie A,23,1994,1.7,91,104,87.5,1605,715,40,46,87.0,43,49,87.8,8,9,88.9,0,0.2,-0.2,2,10,1,1,13,Matches
538,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,20,1997,24.9,990,1251,79.1,20757,6084,364,434,83.9,426,494,86.2,190,278,68.3,2,1.3,+0.7,27,147,22,2,140,Matches
539,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,26,1991,30.7,1018,1318,77.2,24200,7818,227,261,87.0,533,627,85.0,251,404,62.1,1,0.3,+0.7,5,59,4,1,65,Matches
540,Duje Čop,hr CRO,FW,Cagliari,it Serie A,27,1990,1.1,13,23,56.5,196,46,8,14,57.1,5,8,62.5,0,1,0.0,0,0.0,0.0,0,2,0,0,2,Matches
541,Francis Coquelin,fr FRA,MFDF,Arsenal,eng Premier League,26,1991,1.9,85,99,85.9,1621,447,32,36,88.9,34,36,94.4,15,19,78.9,0,0.2,-0.2,1,8,1,0,9,Matches
542,Francis Coquelin,fr FRA,MFDF,Valencia,es La Liga,26,1991,7.3,258,314,82.2,4726,1402,116,135,85.9,109,128,85.2,31,46,67.4,0,0.1,-0.1,2,33,1,0,31,Matches
543,Sébastien Corchia,fr FRA,DF,Sevilla,es La Liga,26,1990,9.1,299,398,75.1,5060,1966,153,176,86.9,116,161,72.0,24,51,47.1,1,0.4,+0.6,5,20,6,4,24,Matches
544,Alex Cordaz,it ITA,GK,Crotone,it Serie A,34,1983,38.0,520,1119,46.5,23451,18774,40,40,100.0,126,130,96.9,352,947,37.2,0,0.0,0.0,1,36,0,0,0,Matches
545,Iñigo Córdoba,es ESP,FWMF,Athletic Club,es La Liga,20,1997,16.2,361,549,65.8,6161,1807,174,238,73.1,142,196,72.4,37,84,44.0,1,1.8,-0.8,16,33,20,8,48,Matches
546,Jhon Córdoba,co COL,FW,Köln,de Bundesliga,24,1993,10.6,141,210,67.1,2315,331,79,106,74.5,39,66,59.1,19,26,73.1,2,0.7,+1.3,5,10,7,2,14,Matches
547,Sergio Córdova,ve VEN,FWMF,Augsburg,de Bundesliga,19,1997,6.5,111,150,74.0,1560,300,71,88,80.7,32,42,76.2,6,13,46.2,1,0.9,+0.1,9,9,4,1,9,Matches
548,Jérémy Cordoval,gp GLP,DF,Troyes,fr Ligue 1,27,1990,10.2,317,412,76.9,4822,2486,172,193,89.1,105,142,73.9,25,47,53.2,1,0.5,+0.5,3,24,7,4,25,Matches
549,Benjamin Corgnet,fr FRA,MFFW,Strasbourg,fr Ligue 1,30,1987,15.3,369,566,65.2,6122,1566,198,270,73.3,124,184,67.4,38,77,49.4,2,1.3,+0.7,16,36,15,4,38,Matches
550,Jack Cork,eng ENG,MF,Burnley,eng Premier League,28,1989,38.0,1270,1584,80.2,23846,5645,535,616,86.9,535,634,84.4,175,269,65.1,1,0.9,+0.1,18,115,18,2,123,Matches
551,Andreas Cornelius,dk DEN,FW,Atalanta,it Serie A,24,1993,10.4,213,304,70.1,3217,472,129,166,77.7,65,88,73.9,15,32,46.9,1,1.2,-0.2,17,10,7,0,14,Matches
552,Maxwel Cornet,ci CIV,FWMF,Lyon,fr Ligue 1,20,1996,14.1,399,521,76.6,6385,1589,205,245,83.7,138,172,80.2,36,60,60.0,6,3.2,+2.8,27,16,17,6,44,Matches
553,Quentin Cornette,fr FRA,FWMF,Amiens,fr Ligue 1,23,1994,5.0,96,138,69.6,1449,633,54,68,79.4,32,45,71.1,6,19,31.6,2,1.1,+0.9,6,13,2,0,19,Matches
554,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,22,1995,25.0,643,891,72.2,9232,2485,393,494,79.6,197,270,73.0,33,75,44.0,4,2.6,+1.4,30,39,33,4,76,Matches
555,Joaquín Correa,ar ARG,FWMF,Sevilla,es La Liga,22,1994,13.3,397,494,80.4,6459,1514,213,255,83.5,149,183,81.4,31,41,75.6,1,1.9,-0.9,21,23,15,0,49,Matches
556,Andrea Cossu,it ITA,MFFW,Cagliari,it Serie A,37,1980,2.7,76,125,60.8,1415,368,34,41,82.9,27,39,69.2,14,43,32.6,1,0.3,+0.7,4,2,1,1,6,Matches
557,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,33,1983,4.0,111,161,68.9,3558,2152,15,15,100.0,47,47,100.0,49,99,49.5,0,0.0,0.0,0,5,1,0,0,Matches
558,Andrea Costa,it ITA,DF,Benevento,it Serie A,31,1986,15.3,560,735,76.2,11806,5631,184,212,86.8,275,324,84.9,98,189,51.9,0,0.1,-0.1,3,41,6,2,51,Matches
559,Danny da Costa,de GER,DF,Eint Frankfurt,de Bundesliga,24,1993,13.4,507,704,72.0,9333,4070,216,257,84.0,234,310,75.5,54,114,47.4,2,1.6,+0.4,12,28,13,8,58,Matches
560,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,28,1988,11.6,248,328,75.6,3429,526,161,205,78.5,67,85,78.8,9,13,69.2,3,2.3,+0.7,13,10,13,2,21,Matches
561,Douglas Costa,br BRA,FWMF,Juventus,it Serie A,26,1990,19.9,826,1037,79.7,15521,3556,375,433,86.6,318,379,83.9,121,182,66.5,6,7.6,-1.6,58,45,48,14,99,Matches
562,Filippo Costa,it ITA,DFMF,SPAL,it Serie A,22,1995,16.4,492,750,65.6,9725,3972,192,228,84.2,210,295,71.2,80,196,40.8,1,0.8,+0.2,13,32,18,9,52,Matches
563,Jaume Costa,es ESP,DF,Villarreal,es La Liga,29,1988,28.2,1239,1594,77.7,22179,9228,549,624,88.0,563,706,79.7,119,230,51.7,0,1.7,-1.7,29,98,33,12,135,Matches
564,Nuno da Costa,cv CPV,FWMF,Strasbourg,fr Ligue 1,26,1991,19.2,231,386,59.8,3715,1110,122,178,68.5,67,119,56.3,27,52,51.9,2,0.9,+1.1,12,23,8,4,34,Matches
565,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,1987,36.0,566,935,60.5,19616,12693,56,58,96.6,265,266,99.6,245,611,40.1,0,0.1,-0.1,2,10,0,0,0,Matches
566,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,25,1991,3.8,52,88,59.1,840,263,21,33,63.6,17,31,54.8,6,12,50.0,0,0.4,-0.4,5,5,6,3,6,Matches
567,Lassana Coulibaly,ml MLI,MF,Angers,fr Ligue 1,21,1996,9.3,247,315,78.4,4009,1182,124,152,81.6,92,108,85.2,22,35,62.9,2,0.7,+1.3,9,16,10,1,31,Matches
568,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,25,1992,35.0,896,1194,75.0,27001,16086,105,106,99.1,483,486,99.4,305,596,51.2,0,0.0,0.0,0,11,0,0,0,Matches
569,Philippe Coutinho,br BRA,FWMF,Barcelona,es La Liga,25,1992,14.4,713,858,83.1,11737,2825,381,428,89.0,265,300,88.3,61,112,54.5,5,3.7,+1.3,29,62,33,2,80,Matches
570,Philippe Coutinho,br BRA,MFFW,Liverpool,eng Premier League,25,1992,12.3,561,755,74.3,11117,3681,208,252,82.5,252,305,82.6,88,160,55.0,6,4.2,+1.8,41,90,47,8,117,Matches
571,Nicolas Cozza,fr FRA,DFMF,Montpellier,fr Ligue 1,18,1999,6.4,225,317,71.0,4423,2019,79,101,78.2,113,144,78.5,31,62,50.0,1,0.1,+0.9,3,31,5,1,36,Matches
572,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,23,1994,28.2,475,763,62.3,18404,14012,68,70,97.1,147,156,94.2,259,534,48.5,0,0.0,0.0,0,16,0,0,0,Matches
573,Martin Cranie,eng ENG,DF,Huddersfield,eng Premier League,30,1986,2.0,73,90,81.1,1555,484,23,24,95.8,39,45,86.7,10,19,52.6,0,0.0,0.0,0,5,0,0,2,Matches
574,Michele Cremonesi,it ITA,DF,SPAL,it Serie A,29,1988,4.3,128,158,81.0,2317,833,47,57,82.5,67,74,90.5,11,21,52.4,0,0.0,0.0,0,11,0,0,12,Matches
575,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,27,1989,34.1,1224,1707,71.7,23519,10212,560,622,90.0,472,587,80.4,183,449,40.8,3,2.8,+0.2,35,117,21,14,96,Matches
576,Lorenzo Crisetig,it ITA,MF,Bologna,it Serie A,24,1993,6.2,304,357,85.2,5611,1451,140,157,89.2,117,136,86.0,40,53,75.5,0,0.0,0.0,1,38,0,0,26,Matches
577,Bryan Cristante,it ITA,MFFW,Atalanta,it Serie A,22,1995,31.4,1223,1584,77.2,21799,6731,517,640,80.8,562,682,82.4,123,207,59.4,2,4.3,-2.3,40,169,44,2,175,Matches
578,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,23,1993,3.0,158,196,80.6,2657,752,76,90,84.4,66,73,90.4,15,27,55.6,0,0.5,-0.5,2,8,1,0,16,Matches
579,Enzo Crivelli,fr FRA,FW,Angers,fr Ligue 1,22,1995,11.4,173,263,65.8,2341,427,105,150,70.0,49,72,68.1,7,11,63.6,1,0.8,+0.2,12,8,6,1,21,Matches
580,Enzo Crivelli,fr FRA,FW,Caen,fr Ligue 1,22,1995,8.1,85,144,59.0,1164,141,53,82,64.6,24,39,61.5,3,8,37.5,0,0.2,-0.2,4,6,1,0,5,Matches
581,Giovanni Crociata,it ITA,FWMF,Crotone,it Serie A,19,1997,3.2,63,92,68.5,971,203,35,44,79.5,25,35,71.4,2,9,22.2,0,0.2,-0.2,3,8,1,0,7,Matches
582,Luca Crosta,it ITA,GK,Cagliari,it Serie A,19,1998,1.0,13,24,54.2,393,188,1,1,100.0,6,6,100.0,6,17,35.3,0,0.0,0.0,0,0,0,0,0,Matches
583,Peter Crouch,eng ENG,FW,Stoke City,eng Premier League,36,1981,17.4,377,634,59.5,4962,1246,262,405,64.7,93,161,57.8,9,25,36.0,2,2.9,-0.9,20,46,6,0,50,Matches
584,Juan Cruz,es ESP,FW,Málaga,es La Liga,17,2000,0.1,4,4,100.0,58,19,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
585,Juan Cuadrado,co COL,FWMF,Juventus,it Serie A,29,1988,15.0,707,837,84.5,14705,3789,293,325,90.2,279,326,85.6,132,171,77.2,4,2.7,+1.3,37,47,39,20,75,Matches
586,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,33,1984,35.0,418,964,43.4,20841,17215,15,18,83.3,87,89,97.8,316,857,36.9,0,0.0,0.0,1,36,0,0,0,Matches
587,Mickaël Cuisance,fr FRA,MFFW,M'Gladbach,de Bundesliga,17,1999,13.4,540,682,79.2,10734,2859,228,269,84.8,209,249,83.9,99,141,70.2,1,1.8,-0.8,20,60,14,3,67,Matches
588,Josh Cullen,ie IRL,MF,West Ham,eng Premier League,21,1996,0.1,3,4,75.0,18,3,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
589,Patrick Cutrone,it ITA,FW,Milan,it Serie A,19,1998,16.7,233,309,75.4,3177,345,152,177,85.9,67,97,69.1,8,16,50.0,1,0.5,+0.5,11,6,5,0,14,Matches
590,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,22,1995,10.6,709,824,86.0,12647,3937,344,374,92.0,263,289,91.0,86,135,63.7,2,1.3,+0.7,19,53,5,0,48,Matches
591,Marco D'Alessandro,it ITA,MFFW,Benevento,it Serie A,26,1991,11.6,210,292,71.9,3433,830,101,127,79.5,90,114,78.9,16,33,48.5,1,1.7,-0.7,20,9,10,7,17,Matches
592,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,28,1988,33.1,1700,2074,82.0,28581,11721,842,937,89.9,706,825,85.6,136,265,51.3,3,1.8,+1.2,21,135,23,8,138,Matches
593,Damien Da Silva,fr FRA,DF,Caen,fr Ligue 1,29,1988,31.5,1082,1348,80.3,26836,9213,233,279,83.5,528,599,88.1,306,438,69.9,0,0.0,0.0,2,115,3,0,76,Matches
594,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,20,1997,10.5,422,504,83.7,8497,3104,133,147,90.5,218,244,89.3,62,96,64.6,0,0.1,-0.1,4,15,1,1,19,Matches
595,Bryan Dabo,bf BFA,MF,Fiorentina,it Serie A,25,1992,6.6,247,320,77.2,4251,1078,113,132,85.6,108,133,81.2,22,45,48.9,0,0.1,-0.1,4,20,2,1,23,Matches
596,Bryan Dabo,bf BFA,MFFW,Saint-Étienne,fr Ligue 1,25,1992,14.3,477,607,78.6,7972,1882,229,286,80.1,193,231,83.5,43,65,66.2,0,0.7,-0.7,13,33,8,3,41,Matches
597,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,21,1996,12.7,568,678,83.8,10628,2521,245,276,88.8,238,271,87.8,78,109,71.6,4,3.0,+1.0,19,49,17,0,61,Matches
598,Dario Dainelli,it ITA,DF,Chievo,it Serie A,38,1979,16.7,459,611,75.1,10911,4783,114,146,78.1,237,267,88.8,105,193,54.4,0,0.0,0.0,3,41,2,0,40,Matches
599,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,33,1984,28.6,1038,1309,79.3,21388,8712,375,417,89.9,473,546,86.6,180,317,56.8,1,0.1,+0.9,4,74,8,3,88,Matches
600,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,30,1986,33.4,1546,2014,76.8,26026,10516,800,886,90.3,607,779,77.9,120,281,42.7,3,2.9,+0.1,31,92,26,9,128,Matches
601,Danilo,br BRA,DF,Manchester City,eng Premier League,26,1991,15.0,1105,1238,89.3,19332,5045,532,557,95.5,463,507,91.3,101,148,68.2,2,0.2,+1.8,5,80,14,1,88,Matches
602,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,30,1987,15.9,451,558,80.8,10169,3735,128,149,85.9,215,239,90.0,102,158,64.6,0,0.1,-0.1,4,35,3,1,37,Matches
603,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,18,1998,12.3,364,523,69.6,8805,3072,98,116,84.5,159,197,80.7,106,201,52.7,0,0.4,-0.4,6,25,3,1,27,Matches
604,Dante,br BRA,DF,Nice,fr Ligue 1,33,1983,32.4,2053,2259,90.9,44062,14992,618,654,94.5,1035,1096,94.4,378,475,79.6,0,0.4,-0.4,3,98,4,0,83,Matches
605,Romain Danzé,fr FRA,DF,Rennes,fr Ligue 1,31,1986,7.6,334,443,75.4,6304,2840,112,134,83.6,184,227,81.1,35,67,52.2,0,0.1,-0.1,3,35,1,0,37,Matches
606,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,18,1999,4.4,173,190,91.1,3205,648,67,77,87.0,83,85,97.6,20,24,83.3,0,0.0,0.0,1,10,0,0,4,Matches
607,Stéphane Darbion,fr FRA,FWMF,Troyes,fr Ligue 1,33,1984,19.0,515,692,74.4,7924,3200,289,348,83.0,179,227,78.9,36,81,44.4,2,1.6,+0.4,15,41,32,14,67,Matches
608,Palkó Dárdai,hu HUN,FW,Hertha BSC,de Bundesliga,18,1999,0.3,6,9,66.7,72,28,5,5,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
609,Sergi Darder,es ESP,MF,Espanyol,es La Liga,23,1993,30.9,1195,1502,79.6,23005,7057,481,557,86.4,532,621,85.7,170,285,59.6,2,2.7,-0.7,29,153,17,1,141,Matches
610,Sergi Darder,es ESP,MF,Lyon,fr Ligue 1,23,1993,2.3,118,138,85.5,2097,478,53,56,94.6,49,55,89.1,14,23,60.9,0,0.0,0.0,0,6,1,0,10,Matches
611,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,26,1990,18.2,770,971,79.3,14525,3487,329,390,84.4,313,384,81.5,110,157,70.1,3,2.0,+1.0,14,77,15,4,76,Matches
612,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10.0,175,335,52.2,7300,5724,13,13,100.0,60,61,98.4,102,261,39.1,0,0.0,0.0,0,5,0,0,0,Matches
613,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,27,1989,4.9,204,249,81.9,3359,1146,106,113,93.8,76,94,80.9,18,33,54.5,0,0.1,-0.1,1,13,0,0,13,Matches
614,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,24,1993,25.8,1325,1751,75.7,23695,9214,595,685,86.9,569,710,80.1,134,275,48.7,6,3.5,+2.5,47,105,35,12,168,Matches
615,Tom Davies,eng ENG,MF,Everton,eng Premier League,19,1998,21.1,545,703,77.5,9004,2118,266,304,87.5,208,264,78.8,48,89,53.9,1,0.9,+0.1,9,42,12,1,48,Matches
616,Steven Davis,nir NIR,MFFW,Southampton,eng Premier League,32,1985,16.9,879,1073,81.9,16120,4098,391,434,90.1,383,426,89.9,94,164,57.3,0,1.3,-1.3,17,100,22,3,87,Matches
617,Salem Al-Dawsari,sa KSA,MF,Villarreal,es La Liga,25,1991,0.4,15,17,88.2,184,44,9,10,90.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
